time,ess_var0.5,ess_var0.6,ess_var0.7,ess_gbs
10,17.8578287,17.227121,17.1364448,20.0986768
20,6.4210454,6.200499,6.0563767,5.1837569
50,1.9474352,1.938726,1.822738,0.8950114
100,0.6408161,0.609438,0.5867261,0.2551775
